EmployeeID,DeviceID,Location,Vendor,Product,DeploymentType,EntitledLicenses,ActualUsage
131,DEV-00131,UK,Oracle DB,Oracle 19c,Cloud,4,3
132,DEV-00132,US,SQL Server,SQL 2019,Cloud,3,1
133,DEV-00133,UK,Adobe CC,Illustrator,On-Prem,2,2
134,DEV-00134,India,Zoom,Zoom Meetings,On-Prem,5,4
135,DEV-00135,India,Zoom,Zoom Meetings,Cloud,1,1
136,DEV-00136,Germany,Microsoft 365,PowerPoint,Cloud,3,3
137,DEV-00137,UK,Salesforce,CRM Cloud,Cloud,3,3
138,DEV-00138,Singapore,SQL Server,SQL 2019,On-Prem,4,0
139,DEV-00139,US,Oracle DB,Oracle 21c,Cloud,3,1
140,DEV-00140,Germany,Oracle DB,Oracle 19c,Cloud,1,1
141,DEV-00141,UK,SQL Server,SQL 2022,On-Prem,3,3
142,DEV-00142,India,Zoom,Zoom Meetings,Cloud,4,2
143,DEV-00143,Singapore,Oracle DB,Oracle 21c,Cloud,5,3
144,DEV-00144,Singapore,Zoom,Zoom Meetings,On-Prem,3,2
145,DEV-00145,Germany,Oracle DB,Oracle 19c,On-Prem,3,0
146,DEV-00146,Singapore,Microsoft 365,Excel,On-Prem,4,1
147,DEV-00147,US,SQL Server,SQL 2019,Cloud,2,2
148,DEV-00148,Germany,Microsoft 365,Teams,On-Prem,5,5
149,DEV-00149,US,Adobe CC,Illustrator,Cloud,4,4
150,DEV-00150,Germany,Zoom,Zoom Meetings,On-Prem,2,0
151,DEV-00151,Singapore,SQL Server,SQL 2022,On-Prem,1,1
152,DEV-00152,Singapore,SQL Server,SQL 2022,Cloud,2,1
153,DEV-00153,UK,Microsoft 365,Excel,Cloud,1,0
154,DEV-00154,UK,Oracle DB,Oracle 19c,Cloud,4,4
155,DEV-00155,US,SQL Server,SQL 2019,Cloud,3,2
156,DEV-00156,India,SQL Server,SQL 2019,On-Prem,4,4
157,DEV-00157,US,Salesforce,CRM Cloud,On-Prem,2,1
158,DEV-00158,US,Salesforce,CRM Cloud,On-Prem,3,2
159,DEV-00159,Singapore,Zoom,Zoom Meetings,On-Prem,4,3
160,DEV-00160,Singapore,Zoom,Zoom Meetings,On-Prem,2,2
161,DEV-00161,UK,Microsoft 365,Excel,Cloud,2,2
162,DEV-00162,US,Adobe CC,Premiere Pro,On-Prem,3,0
163,DEV-00163,India,Salesforce,CRM Cloud,On-Prem,3,0
164,DEV-00164,UK,Zoom,Zoom Meetings,On-Prem,2,2
165,DEV-00165,Germany,Oracle DB,Oracle 19c,Cloud,3,3
166,DEV-00166,US,Oracle DB,Oracle 19c,On-Prem,5,4
167,DEV-00167,US,Adobe CC,Photoshop,On-Prem,1,0
168,DEV-00168,Germany,Oracle DB,Oracle 21c,On-Prem,1,0
169,DEV-00169,India,SQL Server,SQL 2019,On-Prem,3,2
170,DEV-00170,US,SQL Server,SQL 2022,Cloud,3,1
171,DEV-00171,US,Adobe CC,Photoshop,Cloud,4,3
172,DEV-00172,India,Salesforce,CRM Cloud,On-Prem,1,0
173,DEV-00173,Singapore,SQL Server,SQL 2019,On-Prem,4,4
174,DEV-00174,US,Adobe CC,Illustrator,On-Prem,4,1
175,DEV-00175,Singapore,Adobe CC,Photoshop,Cloud,4,1
176,DEV-00176,UK,Oracle DB,Oracle 19c,On-Prem,4,1
177,DEV-00177,UK,Oracle DB,Oracle 19c,Cloud,4,0
178,DEV-00178,US,Salesforce,CRM Cloud,On-Prem,1,0
179,DEV-00179,Singapore,SQL Server,SQL 2019,Cloud,3,3
180,DEV-00180,Singapore,SQL Server,SQL 2019,On-Prem,3,3
181,DEV-00181,Germany,Oracle DB,Oracle 19c,Cloud,1,1
182,DEV-00182,UK,Microsoft 365,Excel,On-Prem,4,0
183,DEV-00183,UK,Oracle DB,Oracle 21c,On-Prem,3,2
184,DEV-00184,India,Oracle DB,Oracle 19c,Cloud,2,1
185,DEV-00185,India,Adobe CC,Premiere Pro,Cloud,5,2
186,DEV-00186,US,Microsoft 365,PowerPoint,On-Prem,4,0
187,DEV-00187,Singapore,Salesforce,CRM Cloud,On-Prem,1,1
188,DEV-00188,UK,SQL Server,SQL 2022,Cloud,1,1
189,DEV-00189,Singapore,Oracle DB,Oracle 21c,Cloud,3,1
190,DEV-00190,India,Salesforce,CRM Cloud,On-Prem,1,1
191,DEV-00191,Singapore,Salesforce,CRM Cloud,On-Prem,5,5
192,DEV-00192,UK,Salesforce,CRM Cloud,On-Prem,5,0
193,DEV-00193,India,Adobe CC,Photoshop,Cloud,1,1
194,DEV-00194,India,Adobe CC,Illustrator,On-Prem,2,1
195,DEV-00195,India,SQL Server,SQL 2022,On-Prem,5,0
196,DEV-00196,Germany,Zoom,Zoom Meetings,Cloud,3,2
197,DEV-00197,UK,Adobe CC,Illustrator,Cloud,2,0
198,DEV-00198,Germany,Adobe CC,Premiere Pro,Cloud,4,3
199,DEV-00199,UK,Microsoft 365,Excel,On-Prem,3,3
200,DEV-00200,US,Adobe CC,Premiere Pro,On-Prem,4,3
201,DEV-00201,Germany,Oracle DB,Oracle 19c,On-Prem,3,3
202,DEV-00202,Singapore,Oracle DB,Oracle 19c,On-Prem,3,1
203,DEV-00203,India,Microsoft 365,PowerPoint,Cloud,5,1
204,DEV-00204,Germany,Adobe CC,Premiere Pro,On-Prem,1,0
205,DEV-00205,UK,Oracle DB,Oracle 21c,Cloud,1,0
206,DEV-00206,US,Oracle DB,Oracle 21c,Cloud,3,3
207,DEV-00207,Singapore,Salesforce,CRM Cloud,Cloud,3,3
208,DEV-00208,Germany,SQL Server,SQL 2019,Cloud,2,0
209,DEV-00209,US,SQL Server,SQL 2019,On-Prem,5,1
210,DEV-00210,India,SQL Server,SQL 2019,On-Prem,2,0
211,DEV-00211,Germany,Salesforce,CRM Cloud,Cloud,2,2
212,DEV-00212,India,Microsoft 365,Word,Cloud,4,3
213,DEV-00213,US,Zoom,Zoom Meetings,On-Prem,3,0
214,DEV-00214,US,Oracle DB,Oracle 21c,Cloud,3,1
215,DEV-00215,India,SQL Server,SQL 2022,On-Prem,5,1
216,DEV-00216,Germany,Zoom,Zoom Meetings,Cloud,5,2
217,DEV-00217,US,Zoom,Zoom Meetings,On-Prem,2,2
218,DEV-00218,Singapore,Salesforce,CRM Cloud,Cloud,1,0
219,DEV-00219,Germany,SQL Server,SQL 2022,Cloud,4,1
220,DEV-00220,India,Oracle DB,Oracle 21c,On-Prem,2,1
221,DEV-00221,Singapore,Microsoft 365,Word,Cloud,1,1
222,DEV-00222,India,Salesforce,CRM Cloud,Cloud,5,1
223,DEV-00223,UK,SQL Server,SQL 2022,Cloud,1,1
224,DEV-00224,US,Microsoft 365,Excel,Cloud,2,0
225,DEV-00225,US,Zoom,Zoom Meetings,On-Prem,3,3
226,DEV-00226,UK,Zoom,Zoom Meetings,Cloud,1,1
227,DEV-00227,US,Microsoft 365,Teams,Cloud,1,0
228,DEV-00228,UK,SQL Server,SQL 2019,Cloud,3,3
229,DEV-00229,Singapore,Salesforce,CRM Cloud,On-Prem,1,0
230,DEV-00230,Singapore,SQL Server,SQL 2019,Cloud,4,2
231,DEV-00231,UK,Salesforce,CRM Cloud,On-Prem,4,2
232,DEV-00232,US,Oracle DB,Oracle 19c,Cloud,3,2
233,DEV-00233,Germany,Salesforce,CRM Cloud,Cloud,3,0
234,DEV-00234,US,Microsoft 365,PowerPoint,Cloud,2,0
235,DEV-00235,Germany,Zoom,Zoom Meetings,On-Prem,5,2
236,DEV-00236,Germany,Oracle DB,Oracle 19c,Cloud,1,0
237,DEV-00237,India,SQL Server,SQL 2019,Cloud,4,0
238,DEV-00238,India,SQL Server,SQL 2022,On-Prem,1,0
239,DEV-00239,Singapore,Oracle DB,Oracle 19c,Cloud,5,1
240,DEV-00240,Singapore,Oracle DB,Oracle 19c,Cloud,1,0
241,DEV-00241,US,Adobe CC,Photoshop,Cloud,1,0
242,DEV-00242,Germany,Adobe CC,Illustrator,Cloud,1,1
243,DEV-00243,India,Salesforce,CRM Cloud,Cloud,3,2
244,DEV-00244,UK,Microsoft 365,Word,Cloud,5,2
245,DEV-00245,India,SQL Server,SQL 2019,Cloud,5,1
246,DEV-00246,UK,Oracle DB,Oracle 19c,Cloud,4,3
247,DEV-00247,Singapore,Salesforce,CRM Cloud,On-Prem,4,0
248,DEV-00248,UK,Oracle DB,Oracle 21c,Cloud,1,0
249,DEV-00249,India,Microsoft 365,Teams,On-Prem,5,1
250,DEV-00250,US,Salesforce,CRM Cloud,On-Prem,2,2
251,DEV-00251,UK,Oracle DB,Oracle 21c,Cloud,1,1
252,DEV-00252,Singapore,Salesforce,CRM Cloud,Cloud,1,0
253,DEV-00253,Germany,Salesforce,CRM Cloud,On-Prem,5,1
254,DEV-00254,Germany,Oracle DB,Oracle 19c,Cloud,1,1
255,DEV-00255,UK,Microsoft 365,Teams,Cloud,1,1
256,DEV-00256,Germany,Adobe CC,Premiere Pro,Cloud,3,3
257,DEV-00257,US,SQL Server,SQL 2019,On-Prem,1,0
258,DEV-00258,India,Adobe CC,Illustrator,Cloud,4,2
259,DEV-00259,UK,Oracle DB,Oracle 21c,Cloud,1,0
260,DEV-00260,India,Oracle DB,Oracle 19c,On-Prem,3,2
261,DEV-00261,US,Oracle DB,Oracle 21c,On-Prem,3,1
262,DEV-00262,Singapore,Zoom,Zoom Meetings,On-Prem,2,0
263,DEV-00263,UK,SQL Server,SQL 2022,Cloud,5,0
264,DEV-00264,US,SQL Server,SQL 2022,Cloud,1,1
265,DEV-00265,Singapore,SQL Server,SQL 2019,On-Prem,5,2
266,DEV-00266,UK,Oracle DB,Oracle 21c,On-Prem,1,1
267,DEV-00267,US,Microsoft 365,Excel,On-Prem,4,1
268,DEV-00268,India,Adobe CC,Illustrator,On-Prem,4,4
269,DEV-00269,US,Salesforce,CRM Cloud,On-Prem,1,0
270,DEV-00270,Singapore,Salesforce,CRM Cloud,Cloud,3,2
271,DEV-00271,Germany,Salesforce,CRM Cloud,Cloud,2,2
272,DEV-00272,UK,SQL Server,SQL 2022,On-Prem,2,2
273,DEV-00273,Singapore,Zoom,Zoom Meetings,On-Prem,4,3
274,DEV-00274,Germany,Oracle DB,Oracle 19c,Cloud,2,2
275,DEV-00275,US,Oracle DB,Oracle 21c,Cloud,5,5
276,DEV-00276,India,Salesforce,CRM Cloud,Cloud,2,1
277,DEV-00277,Germany,Adobe CC,Illustrator,On-Prem,1,1
278,DEV-00278,UK,Zoom,Zoom Meetings,Cloud,5,1
279,DEV-00279,Germany,Adobe CC,Illustrator,Cloud,2,1
280,DEV-00280,Singapore,Microsoft 365,PowerPoint,On-Prem,2,1
281,DEV-00281,Germany,Salesforce,CRM Cloud,On-Prem,4,2
282,DEV-00282,India,Salesforce,CRM Cloud,Cloud,3,2
283,DEV-00283,Singapore,SQL Server,SQL 2019,Cloud,2,1
284,DEV-00284,UK,Oracle DB,Oracle 19c,Cloud,4,4
285,DEV-00285,Germany,SQL Server,SQL 2019,Cloud,4,0
286,DEV-00286,India,Oracle DB,Oracle 19c,Cloud,1,0
287,DEV-00287,India,Adobe CC,Illustrator,Cloud,1,1
288,DEV-00288,US,Oracle DB,Oracle 19c,Cloud,2,2
289,DEV-00289,Singapore,SQL Server,SQL 2019,On-Prem,2,1
290,DEV-00290,US,SQL Server,SQL 2022,Cloud,4,1
291,DEV-00291,Singapore,Zoom,Zoom Meetings,On-Prem,4,4
292,DEV-00292,Germany,Zoom,Zoom Meetings,Cloud,1,0
293,DEV-00293,Germany,Oracle DB,Oracle 21c,On-Prem,3,2
294,DEV-00294,Germany,Zoom,Zoom Meetings,Cloud,3,0
295,DEV-00295,Singapore,Adobe CC,Premiere Pro,On-Prem,5,0
296,DEV-00296,Singapore,Adobe CC,Illustrator,On-Prem,2,2
297,DEV-00297,UK,Microsoft 365,Teams,Cloud,2,2
298,DEV-00298,India,Salesforce,CRM Cloud,On-Prem,2,2
299,DEV-00299,UK,Adobe CC,Photoshop,Cloud,2,2
300,DEV-00300,Germany,SQL Server,SQL 2019,Cloud,4,0
301,DEV-00301,UK,Oracle DB,Oracle 19c,Cloud,4,1
302,DEV-00302,UK,Microsoft 365,PowerPoint,Cloud,5,4
303,DEV-00303,UK,Oracle DB,Oracle 19c,On-Prem,5,2
304,DEV-00304,UK,Salesforce,CRM Cloud,On-Prem,3,2
305,DEV-00305,UK,Oracle DB,Oracle 19c,On-Prem,4,1
306,DEV-00306,US,SQL Server,SQL 2019,On-Prem,5,3
307,DEV-00307,Singapore,SQL Server,SQL 2022,Cloud,1,1
308,DEV-00308,UK,SQL Server,SQL 2022,Cloud,3,0
309,DEV-00309,US,Adobe CC,Premiere Pro,On-Prem,1,1
310,DEV-00310,India,Salesforce,CRM Cloud,On-Prem,1,1
311,DEV-00311,Singapore,SQL Server,SQL 2019,On-Prem,3,2
312,DEV-00312,India,SQL Server,SQL 2022,On-Prem,4,4
313,DEV-00313,Singapore,Adobe CC,Illustrator,Cloud,4,4
314,DEV-00314,Germany,Adobe CC,Illustrator,Cloud,5,3
315,DEV-00315,India,Oracle DB,Oracle 19c,On-Prem,2,1
316,DEV-00316,Singapore,SQL Server,SQL 2019,On-Prem,4,0
317,DEV-00317,India,Oracle DB,Oracle 21c,On-Prem,3,1
318,DEV-00318,Singapore,Oracle DB,Oracle 19c,Cloud,2,0
319,DEV-00319,US,Zoom,Zoom Meetings,On-Prem,4,2
320,DEV-00320,Singapore,Adobe CC,Illustrator,Cloud,2,1
321,DEV-00321,India,SQL Server,SQL 2022,On-Prem,4,0
322,DEV-00322,UK,Adobe CC,Illustrator,Cloud,2,1
323,DEV-00323,Singapore,SQL Server,SQL 2022,On-Prem,3,2
324,DEV-00324,US,Salesforce,CRM Cloud,On-Prem,3,1
325,DEV-00325,Singapore,SQL Server,SQL 2019,On-Prem,5,1
326,DEV-00326,US,Salesforce,CRM Cloud,On-Prem,5,3
327,DEV-00327,UK,Oracle DB,Oracle 21c,On-Prem,3,0
328,DEV-00328,Singapore,Zoom,Zoom Meetings,On-Prem,4,4
329,DEV-00329,Germany,Oracle DB,Oracle 21c,Cloud,3,0
330,DEV-00330,US,Microsoft 365,Teams,Cloud,1,1
331,DEV-00331,US,Salesforce,CRM Cloud,On-Prem,2,1
332,DEV-00332,UK,SQL Server,SQL 2022,Cloud,5,5
333,DEV-00333,Germany,SQL Server,SQL 2019,Cloud,3,1
334,DEV-00334,US,Oracle DB,Oracle 19c,Cloud,3,0
335,DEV-00335,US,Microsoft 365,Word,Cloud,4,1
336,DEV-00336,India,Microsoft 365,Word,On-Prem,4,4
337,DEV-00337,UK,Zoom,Zoom Meetings,Cloud,3,3
338,DEV-00338,Germany,Oracle DB,Oracle 21c,Cloud,4,2
339,DEV-00339,UK,Adobe CC,Premiere Pro,On-Prem,4,1
340,DEV-00340,India,Microsoft 365,PowerPoint,On-Prem,2,0
341,DEV-00341,US,SQL Server,SQL 2022,Cloud,3,0
342,DEV-00342,US,Oracle DB,Oracle 21c,On-Prem,3,1
343,DEV-00343,India,SQL Server,SQL 2022,On-Prem,2,0
344,DEV-00344,Germany,Salesforce,CRM Cloud,Cloud,3,3
345,DEV-00345,Germany,Salesforce,CRM Cloud,On-Prem,4,3
346,DEV-00346,India,Oracle DB,Oracle 21c,Cloud,2,0
347,DEV-00347,India,Zoom,Zoom Meetings,Cloud,4,3
348,DEV-00348,Singapore,Oracle DB,Oracle 19c,Cloud,5,0
349,DEV-00349,Germany,Adobe CC,Illustrator,Cloud,2,2
350,DEV-00350,Singapore,Salesforce,CRM Cloud,On-Prem,1,1
351,DEV-00351,US,Zoom,Zoom Meetings,Cloud,2,2
352,DEV-00352,UK,Salesforce,CRM Cloud,Cloud,3,2
353,DEV-00353,Germany,Salesforce,CRM Cloud,On-Prem,5,4
354,DEV-00354,UK,Oracle DB,Oracle 19c,On-Prem,1,0
355,DEV-00355,UK,Adobe CC,Illustrator,Cloud,5,0
356,DEV-00356,Germany,Zoom,Zoom Meetings,Cloud,4,0
357,DEV-00357,US,SQL Server,SQL 2022,Cloud,1,1
358,DEV-00358,UK,SQL Server,SQL 2019,Cloud,4,4
359,DEV-00359,UK,Zoom,Zoom Meetings,Cloud,1,0
360,DEV-00360,UK,Oracle DB,Oracle 19c,On-Prem,5,2
361,DEV-00361,US,Microsoft 365,PowerPoint,Cloud,5,2
362,DEV-00362,Singapore,Microsoft 365,PowerPoint,On-Prem,2,1
363,DEV-00363,Germany,Oracle DB,Oracle 21c,On-Prem,2,2
364,DEV-00364,Germany,Zoom,Zoom Meetings,Cloud,4,3
365,DEV-00365,UK,Microsoft 365,Word,Cloud,2,0
366,DEV-00366,India,Salesforce,CRM Cloud,Cloud,3,0
367,DEV-00367,Singapore,SQL Server,SQL 2019,Cloud,1,1
368,DEV-00368,Singapore,Adobe CC,Illustrator,Cloud,5,4
369,DEV-00369,UK,Zoom,Zoom Meetings,Cloud,1,1
370,DEV-00370,UK,Salesforce,CRM Cloud,Cloud,1,0
371,DEV-00371,UK,Adobe CC,Premiere Pro,On-Prem,5,0
372,DEV-00372,Germany,Zoom,Zoom Meetings,On-Prem,2,2
373,DEV-00373,India,Zoom,Zoom Meetings,Cloud,5,5
374,DEV-00374,India,Adobe CC,Photoshop,On-Prem,2,0
375,DEV-00375,Germany,Oracle DB,Oracle 21c,On-Prem,3,0
376,DEV-00376,India,Microsoft 365,Word,Cloud,4,3
377,DEV-00377,Germany,Zoom,Zoom Meetings,On-Prem,2,1
378,DEV-00378,Germany,Adobe CC,Photoshop,Cloud,1,1
379,DEV-00379,US,Adobe CC,Premiere Pro,Cloud,5,2
380,DEV-00380,US,Zoom,Zoom Meetings,Cloud,1,0
381,DEV-00381,India,Adobe CC,Photoshop,Cloud,2,1
382,DEV-00382,India,Zoom,Zoom Meetings,Cloud,1,0
383,DEV-00383,Singapore,Salesforce,CRM Cloud,Cloud,3,3
384,DEV-00384,India,Zoom,Zoom Meetings,On-Prem,1,1
385,DEV-00385,India,Zoom,Zoom Meetings,Cloud,1,0
386,DEV-00386,UK,Adobe CC,Photoshop,Cloud,2,2
387,DEV-00387,UK,Microsoft 365,Teams,On-Prem,4,1
388,DEV-00388,Singapore,SQL Server,SQL 2022,Cloud,2,0
389,DEV-00389,US,Microsoft 365,Excel,On-Prem,3,0
390,DEV-00390,US,Microsoft 365,Teams,Cloud,1,0
391,DEV-00391,US,Zoom,Zoom Meetings,On-Prem,1,1
392,DEV-00392,Germany,Oracle DB,Oracle 21c,On-Prem,4,0
