Month,ResourceID,Cloud,Service,Region,InstanceSize,AvgCPUPercent,AvgMemPercent,OnDemandCost,DiscountedCost
2025-03,aw-0012,AWS,Cache,eu-west-1,large,29.0,26.2,108.0,92.0
2025-04,aw-0012,AWS,Cache,eu-west-1,large,28.8,28.6,114.84,85.16
2025-05,aw-0012,AWS,Cache,eu-west-1,large,31.5,28.8,105.6,94.4
2025-06,aw-0012,AWS,Cache,eu-west-1,large,29.9,20.3,93.54,106.46
2025-07,aw-0012,AWS,Cache,eu-west-1,large,30.4,32.7,102.72,97.28
2025-08,aw-0012,AWS,Cache,eu-west-1,large,26.6,27.8,121.18,78.82
2024-09,az-0013,Azure,Database,westeurope,nano,15.4,49.9,24.04,15.96
2024-10,az-0013,Azure,Database,westeurope,nano,8.6,37.5,20.78,19.22
2024-11,az-0013,Azure,Database,westeurope,nano,17.1,47.1,26.33,13.67
2024-12,az-0013,Azure,Database,westeurope,nano,17.5,36.0,21.48,18.52
2025-01,az-0013,Azure,Database,westeurope,nano,21.4,42.1,22.26,17.74
2025-02,az-0013,Azure,Database,westeurope,nano,21.3,43.0,21.93,18.07
2025-03,az-0013,Azure,Database,westeurope,nano,13.6,40.8,21.13,18.87
2025-04,az-0013,Azure,Database,westeurope,nano,14.7,41.9,19.56,20.44
2025-05,az-0013,Azure,Database,westeurope,nano,17.5,38.2,27.04,12.96
2025-06,az-0013,Azure,Database,westeurope,nano,20.6,39.2,23.76,16.24
2025-07,az-0013,Azure,Database,westeurope,nano,19.8,41.7,20.42,19.58
2025-08,az-0013,Azure,Database,westeurope,nano,14.6,36.7,21.04,18.96
2024-09,az-0014,Azure,Storage,southeastasia,large,16.6,14.6,117.2,82.8
2024-10,az-0014,Azure,Storage,southeastasia,large,14.6,7.3,101.3,98.7
2024-11,az-0014,Azure,Storage,southeastasia,large,22.3,14.0,104.71,95.29
2024-12,az-0014,Azure,Storage,southeastasia,large,15.4,14.8,122.57,77.43
2025-01,az-0014,Azure,Storage,southeastasia,large,17.8,8.4,108.44,91.56
2025-02,az-0014,Azure,Storage,southeastasia,large,15.9,11.8,98.33,101.67
2025-03,az-0014,Azure,Storage,southeastasia,large,20.9,8.7,94.23,105.77
2025-04,az-0014,Azure,Storage,southeastasia,large,15.6,19.1,107.82,92.18
2025-05,az-0014,Azure,Storage,southeastasia,large,16.1,7.9,112.47,87.53
2025-06,az-0014,Azure,Storage,southeastasia,large,15.5,10.6,109.98,90.02
2025-07,az-0014,Azure,Storage,southeastasia,large,11.6,10.5,86.93,113.07
2025-08,az-0014,Azure,Storage,southeastasia,large,13.1,15.7,136.07,63.93
2024-09,gc-0015,GCP,Storage,europe-west1,large,25.6,21.3,128.41,71.59
2024-10,gc-0015,GCP,Storage,europe-west1,large,26.9,33.8,130.17,69.83
2024-11,gc-0015,GCP,Storage,europe-west1,large,22.0,28.1,121.65,78.35
2024-12,gc-0015,GCP,Storage,europe-west1,large,31.9,17.0,114.17,85.83
2025-01,gc-0015,GCP,Storage,europe-west1,large,29.4,28.2,102.28,97.72
2025-02,gc-0015,GCP,Storage,europe-west1,large,33.8,20.9,110.18,89.82
2025-03,gc-0015,GCP,Storage,europe-west1,large,28.9,21.1,126.12,73.88
2025-04,gc-0015,GCP,Storage,europe-west1,large,27.1,27.9,132.28,67.72
2025-05,gc-0015,GCP,Storage,europe-west1,large,30.4,18.4,116.08,83.92
2025-06,gc-0015,GCP,Storage,europe-west1,large,29.2,22.0,102.59,97.41
2025-07,gc-0015,GCP,Storage,europe-west1,large,19.3,22.5,117.95,82.05
2025-08,gc-0015,GCP,Storage,europe-west1,large,23.0,19.6,101.28,98.72
2024-09,aw-0016,AWS,Database,us-east-1,medium,24.2,56.0,75.04,84.96
2024-10,aw-0016,AWS,Database,us-east-1,medium,19.2,43.1,83.65,76.35
2024-11,aw-0016,AWS,Database,us-east-1,medium,20.7,51.2,90.8,69.2
2024-12,aw-0016,AWS,Database,us-east-1,medium,23.6,49.5,72.7,87.3
2025-01,aw-0016,AWS,Database,us-east-1,medium,23.9,49.6,94.89,65.11
2025-02,aw-0016,AWS,Database,us-east-1,medium,19.1,47.7,79.64,80.36
2025-03,aw-0016,AWS,Database,us-east-1,medium,21.7,42.2,97.85,62.15
2025-04,aw-0016,AWS,Database,us-east-1,medium,20.7,44.2,92.55,67.45
2025-05,aw-0016,AWS,Database,us-east-1,medium,23.4,40.4,78.25,81.75
2025-06,aw-0016,AWS,Database,us-east-1,medium,19.7,39.1,81.88,78.12
2025-07,aw-0016,AWS,Database,us-east-1,medium,18.1,45.4,85.04,74.96
2025-08,aw-0016,AWS,Database,us-east-1,medium,20.3,49.6,101.16,58.84
2024-09,gc-0017,GCP,Cache,us-west1,small,14.6,28.1,76.97,43.03
2024-10,gc-0017,GCP,Cache,us-west1,small,16.6,27.4,57.09,62.91
2024-11,gc-0017,GCP,Cache,us-west1,small,18.5,22.1,65.41,54.59
2024-12,gc-0017,GCP,Cache,us-west1,small,17.7,29.3,55.66,64.34
2025-01,gc-0017,GCP,Cache,us-west1,small,16.1,40.2,78.11,41.89
2025-02,gc-0017,GCP,Cache,us-west1,small,9.5,29.9,79.85,40.15
2025-03,gc-0017,GCP,Cache,us-west1,small,15.0,24.7,63.12,56.88
2025-04,gc-0017,GCP,Cache,us-west1,small,14.8,23.9,78.56,41.44
2025-05,gc-0017,GCP,Cache,us-west1,small,15.8,23.3,63.63,56.37
2025-06,gc-0017,GCP,Cache,us-west1,small,18.1,27.0,67.02,52.98
2025-07,gc-0017,GCP,Cache,us-west1,small,18.3,20.9,64.4,55.6
2025-08,gc-0017,GCP,Cache,us-west1,small,8.9,27.3,80.89,39.11
2024-09,az-0018,Azure,Storage,eastus,xlarge,17.5,35.9,134.2,105.8
2024-10,az-0018,Azure,Storage,eastus,xlarge,15.8,33.1,137.69,102.31
2024-11,az-0018,Azure,Storage,eastus,xlarge,14.5,40.4,140.35,99.65
2024-12,az-0018,Azure,Storage,eastus,xlarge,28.5,41.4,142.44,97.56
2025-01,az-0018,Azure,Storage,eastus,xlarge,21.0,39.6,145.4,94.6
2025-02,az-0018,Azure,Storage,eastus,xlarge,25.4,37.3,140.88,99.12
2025-03,az-0018,Azure,Storage,eastus,xlarge,17.5,42.2,151.88,88.12
2025-04,az-0018,Azure,Storage,eastus,xlarge,19.2,36.9,148.87,91.13
2025-05,az-0018,Azure,Storage,eastus,xlarge,16.6,39.5,136.04,103.96
2025-06,az-0018,Azure,Storage,eastus,xlarge,20.0,32.4,135.81,104.19
2025-07,az-0018,Azure,Storage,eastus,xlarge,17.7,35.2,140.88,99.12
2025-08,az-0018,Azure,Storage,eastus,xlarge,16.0,35.5,137.35,102.65
2024-09,az-0019,Azure,Storage,westeurope,nano,24.9,29.9,25.61,14.39
2024-10,az-0019,Azure,Storage,westeurope,nano,29.3,24.0,22.65,17.35
2024-11,az-0019,Azure,Storage,westeurope,nano,30.4,21.7,26.16,13.84
2024-12,az-0019,Azure,Storage,westeurope,nano,24.3,20.1,26.78,13.22
2025-01,az-0019,Azure,Storage,westeurope,nano,30.5,14.5,25.02,14.98
2025-02,az-0019,Azure,Storage,westeurope,nano,28.6,16.6,23.03,16.97
2025-03,az-0019,Azure,Storage,westeurope,nano,24.4,24.9,17.52,22.48
2025-04,az-0019,Azure,Storage,westeurope,nano,26.1,24.7,24.69,15.31
2025-05,az-0019,Azure,Storage,westeurope,nano,25.6,15.3,19.64,20.36
2025-06,az-0019,Azure,Storage,westeurope,nano,30.3,23.2,25.9,14.1
2025-07,az-0019,Azure,Storage,westeurope,nano,25.2,20.1,24.6,15.4
2025-08,az-0019,Azure,Storage,westeurope,nano,21.6,22.5,17.1,22.9
2024-09,aw-0020,AWS,Compute/VM,eu-west-1,nano,15.5,24.5,25.18,14.82
2024-10,aw-0020,AWS,Compute/VM,eu-west-1,nano,26.0,23.3,24.04,15.96
2024-11,aw-0020,AWS,Compute/VM,eu-west-1,nano,18.4,18.9,27.49,12.51
2024-12,aw-0020,AWS,Compute/VM,eu-west-1,nano,17.5,23.7,24.04,15.96
2025-01,aw-0020,AWS,Compute/VM,eu-west-1,nano,19.8,17.6,23.81,16.19
2025-02,aw-0020,AWS,Compute/VM,eu-west-1,nano,23.6,23.7,17.57,22.43
2025-03,aw-0020,AWS,Compute/VM,eu-west-1,nano,18.2,21.3,20.14,19.86
2025-04,aw-0020,AWS,Compute/VM,eu-west-1,nano,19.4,27.5,24.9,15.1
2025-05,aw-0020,AWS,Compute/VM,eu-west-1,nano,15.5,26.7,24.29,15.71
2025-06,aw-0020,AWS,Compute/VM,eu-west-1,nano,20.3,24.6,25.21,14.79
2025-07,aw-0020,AWS,Compute/VM,eu-west-1,nano,12.1,13.1,25.14,14.86
2025-08,aw-0020,AWS,Compute/VM,eu-west-1,nano,21.8,20.3,22.83,17.17
2024-09,az-0021,Azure,Database,southeastasia,large,24.5,38.7,111.36,88.64
2024-10,az-0021,Azure,Database,southeastasia,large,24.8,38.4,115.53,84.47
2024-11,az-0021,Azure,Database,southeastasia,large,20.6,38.7,114.05,85.95
2024-12,az-0021,Azure,Database,southeastasia,large,27.5,35.9,92.49,107.51
2025-01,az-0021,Azure,Database,southeastasia,large,30.2,35.2,132.06,67.94
2025-02,az-0021,Azure,Database,southeastasia,large,24.5,26.5,139.38,60.62
2025-03,az-0021,Azure,Database,southeastasia,large,22.7,36.0,123.29,76.71
2025-04,az-0021,Azure,Database,southeastasia,large,22.1,32.7,132.26,67.74
2025-05,az-0021,Azure,Database,southeastasia,large,21.1,31.4,128.93,71.07
2025-06,az-0021,Azure,Database,southeastasia,large,21.2,36.4,98.76,101.24
2025-07,az-0021,Azure,Database,southeastasia,large,23.3,29.5,103.07,96.93
2025-08,az-0021,Azure,Database,southeastasia,large,21.3,37.3,94.6,105.4
2024-09,gc-0022,GCP,Compute/VM,europe-west1,medium,4.5,38.9,68.4,91.6
2024-10,gc-0022,GCP,Compute/VM,europe-west1,medium,7.2,25.8,72.86,87.14
2024-11,gc-0022,GCP,Compute/VM,europe-west1,medium,6.9,33.6,75.58,84.42
2024-12,gc-0022,GCP,Compute/VM,europe-west1,medium,7.2,38.2,91.13,68.87
2025-01,gc-0022,GCP,Compute/VM,europe-west1,medium,4.9,28.6,78.1,81.9
2025-02,gc-0022,GCP,Compute/VM,europe-west1,medium,5.9,37.7,71.77,88.23
2025-03,gc-0022,GCP,Compute/VM,europe-west1,medium,8.5,30.7,102.21,57.79
2025-04,gc-0022,GCP,Compute/VM,europe-west1,medium,9.5,34.3,92.89,67.11
2025-05,gc-0022,GCP,Compute/VM,europe-west1,medium,8.7,33.3,102.01,57.99
2025-06,gc-0022,GCP,Compute/VM,europe-west1,medium,2.0,25.5,105.29,54.71
2025-07,gc-0022,GCP,Compute/VM,europe-west1,medium,8.4,25.2,104.04,55.96
2025-08,gc-0022,GCP,Compute/VM,europe-west1,medium,8.7,35.3,89.14,70.86
2024-09,gc-0023,GCP,Database,asia-south1,micro,20.2,16.8,42.03,37.97
2024-10,gc-0023,GCP,Database,asia-south1,micro,25.6,17.9,51.49,28.51
2024-11,gc-0023,GCP,Database,asia-south1,micro,24.4,17.4,33.79,46.21
2024-12,gc-0023,GCP,Database,asia-south1,micro,21.0,7.7,49.5,30.5
2025-01,gc-0023,GCP,Database,asia-south1,micro,17.2,13.9,43.98,36.02
2025-02,gc-0023,GCP,Database,asia-south1,micro,18.6,6.6,45.08,34.92
2025-03,gc-0023,GCP,Database,asia-south1,micro,25.6,10.4,46.48,33.52
2025-04,gc-0023,GCP,Database,asia-south1,micro,19.8,16.0,45.21,34.79
2025-05,gc-0023,GCP,Database,asia-south1,micro,22.9,6.0,49.33,30.67
2025-06,gc-0023,GCP,Database,asia-south1,micro,18.3,8.1,37.35,42.65
2025-07,gc-0023,GCP,Database,asia-south1,micro,18.0,14.5,41.39,38.61
2025-08,gc-0023,GCP,Database,asia-south1,micro,25.8,9.5,49.6,30.4
2024-09,aw-0024,AWS,Storage,ap-south-1,2xlarge,16.5,27.4,155.82,124.18
2024-10,aw-0024,AWS,Storage,ap-south-1,2xlarge,18.3,35.5,161.24,118.76
2024-11,aw-0024,AWS,Storage,ap-south-1,2xlarge,21.3,31.3,174.97,105.03
2024-12,aw-0024,AWS,Storage,ap-south-1,2xlarge,22.2,34.9,154.58,125.42
2025-01,aw-0024,AWS,Storage,ap-south-1,2xlarge,18.5,32.8,160.73,119.27
2025-02,aw-0024,AWS,Storage,ap-south-1,2xlarge,21.2,32.0,123.99,156.01
2025-03,aw-0024,AWS,Storage,ap-south-1,2xlarge,16.4,25.5,179.56,100.44
2025-04,aw-0024,AWS,Storage,ap-south-1,2xlarge,14.4,29.2,179.49,100.51
2025-05,aw-0024,AWS,Storage,ap-south-1,2xlarge,16.7,28.4,172.99,107.01
2025-06,aw-0024,AWS,Storage,ap-south-1,2xlarge,18.8,30.2,161.57,118.43
2025-07,aw-0024,AWS,Storage,ap-south-1,2xlarge,22.9,18.1,163.51,116.49
2025-08,aw-0024,AWS,Storage,ap-south-1,2xlarge,10.7,29.6,146.39,133.61
2024-09,az-0025,Azure,Compute/VM,eastus,micro,24.2,31.6,43.88,36.12
2024-10,az-0025,Azure,Compute/VM,eastus,micro,24.7,29.4,34.25,45.75
2024-11,az-0025,Azure,Compute/VM,eastus,micro,28.2,27.1,43.93,36.07
2024-12,az-0025,Azure,Compute/VM,eastus,micro,29.8,30.4,46.94,33.06
2025-01,az-0025,Azure,Compute/VM,eastus,micro,25.2,22.3,41.29,38.71
2025-02,az-0025,Azure,Compute/VM,eastus,micro,25.8,25.8,49.54,30.46
2025-03,az-0025,Azure,Compute/VM,eastus,micro,26.1,27.2,46.58,33.42
2025-04,az-0025,Azure,Compute/VM,eastus,micro,26.5,24.4,40.14,39.86
2025-05,az-0025,Azure,Compute/VM,eastus,micro,26.3,34.1,47.07,32.93
2025-06,az-0025,Azure,Compute/VM,eastus,micro,22.2,17.6,40.42,39.58
2025-07,az-0025,Azure,Compute/VM,eastus,micro,24.5,25.4,53.15,26.85
2025-08,az-0025,Azure,Compute/VM,eastus,micro,19.8,30.2,37.69,42.31
2024-09,az-0026,Azure,Database,eastus,small,24.2,27.8,75.4,44.6
2024-10,az-0026,Azure,Database,eastus,small,28.2,30.8,79.07,40.93
2024-11,az-0026,Azure,Database,eastus,small,26.1,28.2,69.01,50.99
2024-12,az-0026,Azure,Database,eastus,small,21.5,29.5,59.42,60.58
2025-01,az-0026,Azure,Database,eastus,small,21.2,38.9,71.81,48.19
2025-02,az-0026,Azure,Database,eastus,small,30.2,30.5,77.54,42.46
2025-03,az-0026,Azure,Database,eastus,small,27.1,24.8,62.74,57.26
2025-04,az-0026,Azure,Database,eastus,small,23.7,27.8,75.2,44.8
2025-05,az-0026,Azure,Database,eastus,small,27.5,32.5,79.15,40.85
2025-06,az-0026,Azure,Database,eastus,small,22.7,28.6,76.49,43.51
2025-07,az-0026,Azure,Database,eastus,small,23.2,28.6,68.8,51.2
2025-08,az-0026,Azure,Database,eastus,small,22.7,29.7,78.05,41.95
2024-09,az-0027,Azure,Cache,southeastasia,xlarge,37.2,19.7,107.16,132.84
2024-10,az-0027,Azure,Cache,southeastasia,xlarge,34.9,12.8,147.62,92.38
2024-11,az-0027,Azure,Cache,southeastasia,xlarge,37.6,10.9,123.05,116.95
2024-12,az-0027,Azure,Cache,southeastasia,xlarge,34.6,10.3,126.3,113.7
2025-01,az-0027,Azure,Cache,southeastasia,xlarge,35.5,9.0,147.03,92.97
