EmployeeID,DeviceID,Location,Department,Vendor,Product,DeploymentType,LicenseType,Edition,ProductVersion,EntitledLicenses,ActualUsage,LastUsedDays,IsEOL,KnownVulns,DaysSincePatch,CostPerLicense,ContractEndDate
19,DEV-00019,US,Sales,SQL Server,SQL 2022,On-Prem,Subscription,Standard,16.0.10,4,6,7,0,0,15,300,2026-05-17
20,DEV-00020,UK,Sales,Salesforce,CRM Cloud,On-Prem,SaaS,Enterprise,Summer'25,1,0,90,0,0,15,120,2025-10-26
21,DEV-00021,India,Support,Zoom,Zoom Meetings,On-Prem,Perpetual,Basic,5.16,1,0,30,0,0,60,12,2026-07-15
22,DEV-00022,US,IT,Zoom,Zoom Meetings,Cloud,Perpetual,Business,5.17,3,2,0,0,1,7,12,2026-04-17
23,DEV-00023,US,Engineering,SQL Server,SQL 2022,On-Prem,SaaS,Enterprise,16.0.10,1,1,0,0,0,60,300,2026-03-24
24,DEV-00024,India,Marketing,Oracle DB,Oracle 21c,On-Prem,Subscription,Enterprise,21.3,5,5,60,0,0,7,500,2025-12-04
25,DEV-00025,UK,Finance,Microsoft 365,Excel,Cloud,Subscription,Standard,16.2,3,2,7,0,0,90,15,2026-02-02
26,DEV-00026,India,Finance,Salesforce,CRM Cloud,Cloud,SaaS,Professional,Spring'25,2,1,30,0,0,7,120,2026-05-11
27,DEV-00027,Singapore,Sales,Zoom,Zoom Meetings,On-Prem,SaaS,Business,5.16,5,7,7,0,0,60,12,2025-12-11
28,DEV-00028,Germany,HR,Microsoft 365,PowerPoint,Cloud,SaaS,E3,16.0,2,1,30,0,1,7,15,2026-04-23
29,DEV-00029,Singapore,HR,Adobe CC,Photoshop,On-Prem,Subscription,Single App,24.0,3,3,60,0,0,30,25,2026-02-01
30,DEV-00030,UK,HR,Salesforce,CRM Cloud,Cloud,SaaS,Enterprise,Summer'25,2,1,60,0,0,30,120,2026-01-21
31,DEV-00031,US,IT,Salesforce,CRM Cloud,Cloud,Subscription,Enterprise,Summer'25,3,3,15,0,0,7,120,2026-06-28
32,DEV-00032,UK,IT,Microsoft 365,PowerPoint,On-Prem,Perpetual,E3,16.0,1,1,0,0,0,15,15,2026-03-06
33,DEV-00033,Germany,Finance,SQL Server,SQL 2019,Cloud,SaaS,Enterprise,15.0.43,5,4,15,0,1,15,300,2026-01-05
34,DEV-00034,UK,Sales,Microsoft 365,PowerPoint,Cloud,Perpetual,Basic,16.2,3,3,60,0,0,7,15,2026-02-25
35,DEV-00035,Singapore,HR,Adobe CC,Illustrator,Cloud,Perpetual,Single App,28.0,4,0,7,0,0,90,25,2026-01-12
36,DEV-00036,Germany,Operations,SQL Server,SQL 2022,Cloud,Perpetual,Standard,16.0.12,2,1,90,0,0,90,300,2026-08-17
37,DEV-00037,Singapore,Operations,Microsoft 365,Excel,Cloud,SaaS,Standard,16.0,1,3,90,0,0,90,15,2025-11-03
38,DEV-00038,Germany,Sales,Salesforce,CRM Cloud,Cloud,Subscription,Enterprise,Summer'25,2,0,30,0,0,90,120,2025-11-20
39,DEV-00039,Germany,Marketing,Adobe CC,Premiere Pro,Cloud,SaaS,Single App,23.0,4,3,7,0,0,15,25,2026-07-10
40,DEV-00040,Singapore,Operations,SQL Server,SQL 2022,Cloud,SaaS,Enterprise,16.0.12,3,2,15,0,0,90,300,2026-06-20
41,DEV-00041,Germany,Marketing,Oracle DB,Oracle 21c,On-Prem,Perpetual,Enterprise,21.3,3,0,0,0,0,15,500,2026-01-23
42,DEV-00042,Germany,HR,Salesforce,CRM Cloud,On-Prem,Subscription,Enterprise,Spring'25,5,0,0,0,0,15,120,2026-04-30
43,DEV-00043,Germany,IT,Zoom,Zoom Meetings,Cloud,SaaS,Pro,5.17,4,3,120,0,0,30,12,2026-07-03
44,DEV-00044,Singapore,Marketing,SQL Server,SQL 2019,Cloud,Subscription,Enterprise,15.0.43,4,3,60,0,0,120,300,2026-05-24
45,DEV-00045,US,IT,SQL Server,SQL 2019,On-Prem,Perpetual,Enterprise,15.0.43,4,2,180,0,0,30,300,2026-01-13
46,DEV-00046,Germany,Operations,Oracle DB,Oracle 21c,Cloud,Subscription,Enterprise,21.3,4,7,7,1,0,7,500,2026-03-25
47,DEV-00047,US,Finance,Salesforce,CRM Cloud,On-Prem,SaaS,Professional,Summer'25,5,1,30,0,0,7,120,2025-11-24
48,DEV-00048,Singapore,Marketing,SQL Server,SQL 2022,Cloud,SaaS,Standard,16.0.10,3,0,7,0,1,7,300,2026-07-18
49,DEV-00049,Germany,Sales,Salesforce,CRM Cloud,On-Prem,Perpetual,Professional,Summer'25,3,0,15,0,1,30,120,2026-07-13
50,DEV-00050,India,Operations,Zoom,Zoom Meetings,Cloud,SaaS,Business,5.17,1,1,60,0,0,60,12,2026-03-31
51,DEV-00051,Germany,HR,SQL Server,SQL 2019,Cloud,Perpetual,Enterprise,15.0.45,4,4,7,0,0,30,300,2026-01-30
52,DEV-00052,India,Engineering,SQL Server,SQL 2019,Cloud,Perpetual,Enterprise,15.0.45,1,1,30,0,0,60,300,2026-01-13
53,DEV-00053,UK,Engineering,Oracle DB,Oracle 21c,Cloud,Perpetual,Standard,21.3,1,1,7,0,0,7,500,2026-01-28
54,DEV-00054,Germany,Support,SQL Server,SQL 2019,On-Prem,Subscription,Standard,15.0.45,2,2,30,0,0,7,300,2026-07-07
55,DEV-00055,Singapore,Operations,SQL Server,SQL 2022,Cloud,Perpetual,Enterprise,16.0.12,3,0,15,0,0,30,300,2026-03-07
56,DEV-00056,India,HR,Adobe CC,Photoshop,Cloud,Subscription,All Apps,24.0,2,1,0,0,0,15,25,2025-10-04
57,DEV-00057,Singapore,HR,Oracle DB,Oracle 19c,On-Prem,Perpetual,Enterprise,19.15,2,1,120,0,0,15,500,2025-10-03
58,DEV-00058,Singapore,Engineering,SQL Server,SQL 2022,Cloud,Subscription,Standard,16.0.10,3,3,0,0,1,15,300,2025-10-30
59,DEV-00059,Germany,Support,Microsoft 365,Word,On-Prem,SaaS,E3,16.0,2,1,30,0,0,30,15,2026-08-09
60,DEV-00060,US,Sales,SQL Server,SQL 2022,Cloud,Perpetual,Enterprise,16.0.12,5,4,30,0,0,7,300,2025-11-16
61,DEV-00061,US,Marketing,Oracle DB,Oracle 19c,On-Prem,SaaS,Standard,19.15,1,1,120,0,1,15,500,2026-07-28
62,DEV-00062,Germany,Engineering,Microsoft 365,Excel,Cloud,Perpetual,E3,16.2,4,5,7,0,0,90,15,2026-08-13
63,DEV-00063,Singapore,Marketing,SQL Server,SQL 2019,On-Prem,Perpetual,Standard,15.0.45,2,3,90,0,0,30,300,2026-07-28
64,DEV-00064,Singapore,Engineering,SQL Server,SQL 2019,Cloud,Perpetual,Enterprise,15.0.45,3,3,0,0,0,90,300,2026-07-30
65,DEV-00065,India,Sales,Salesforce,CRM Cloud,Cloud,SaaS,Professional,Summer'25,5,0,30,0,0,7,120,2026-02-11
66,DEV-00066,Singapore,IT,Adobe CC,Illustrator,Cloud,Subscription,Single App,28.0,4,3,30,0,0,7,25,2026-03-16
67,DEV-00067,UK,Finance,Adobe CC,Illustrator,Cloud,Perpetual,All Apps,28.0,4,4,30,1,0,30,25,2025-11-11
68,DEV-00068,UK,Engineering,Oracle DB,Oracle 19c,Cloud,Perpetual,Standard,19.15,5,0,0,0,0,15,500,2026-03-31
69,DEV-00069,Singapore,Support,Salesforce,CRM Cloud,On-Prem,SaaS,Enterprise,Summer'25,3,3,7,0,0,30,120,2026-08-15
70,DEV-00070,Singapore,Marketing,Salesforce,CRM Cloud,Cloud,Perpetual,Professional,Spring'25,1,0,90,0,0,30,120,2025-11-26
71,DEV-00071,US,Support,Salesforce,CRM Cloud,Cloud,Subscription,Enterprise,Spring'25,2,0,0,0,0,15,120,2026-07-30
72,DEV-00072,Singapore,HR,Microsoft 365,PowerPoint,Cloud,Subscription,E3,16.0,3,3,0,0,1,90,15,2026-05-13
73,DEV-00073,Singapore,Support,Oracle DB,Oracle 21c,Cloud,Subscription,Enterprise,21.3,2,0,30,0,0,30,500,2026-04-25
74,DEV-00074,India,Operations,Salesforce,CRM Cloud,Cloud,Subscription,Professional,Spring'25,1,1,30,0,0,7,120,2026-05-10
75,DEV-00075,India,Support,Microsoft 365,Excel,Cloud,Perpetual,Standard,16.0,4,2,60,0,0,7,15,2026-04-18
76,DEV-00076,India,Operations,Salesforce,CRM Cloud,Cloud,Perpetual,Enterprise,Summer'25,5,8,30,0,0,90,120,2026-02-21
77,DEV-00077,US,Finance,SQL Server,SQL 2019,On-Prem,Subscription,Standard,15.0.45,1,2,180,0,1,7,300,2026-04-06
78,DEV-00078,Germany,HR,Adobe CC,Premiere Pro,Cloud,Perpetual,Single App,23.0,2,4,120,0,0,120,25,2026-01-28
79,DEV-00079,Germany,HR,Adobe CC,Illustrator,Cloud,Subscription,All Apps,27.0,4,4,180,0,1,15,25,2026-05-11
80,DEV-00080,UK,Engineering,Salesforce,CRM Cloud,Cloud,Subscription,Enterprise,Summer'25,4,0,90,0,0,7,120,2026-07-16
81,DEV-00081,UK,Engineering,Salesforce,CRM Cloud,On-Prem,Perpetual,Enterprise,Spring'25,1,0,30,0,1,30,120,2026-06-08
82,DEV-00082,UK,Marketing,Zoom,Zoom Meetings,On-Prem,Perpetual,Basic,5.17,2,2,0,0,0,120,12,2026-03-04
83,DEV-00083,Germany,IT,Zoom,Zoom Meetings,On-Prem,SaaS,Pro,5.17,4,1,0,0,0,90,12,2026-04-02
84,DEV-00084,Singapore,Engineering,Adobe CC,Illustrator,Cloud,Subscription,All Apps,27.0,4,1,60,0,0,60,25,2026-01-20
85,DEV-00085,Germany,Operations,Microsoft 365,Teams,On-Prem,Subscription,Basic,1.7,3,2,7,0,0,60,15,2026-08-19
86,DEV-00086,UK,Finance,Salesforce,CRM Cloud,Cloud,SaaS,Enterprise,Summer'25,1,1,90,0,1,30,120,2026-02-28
87,DEV-00087,Germany,Finance,Adobe CC,Photoshop,On-Prem,Subscription,All Apps,24.0,1,0,15,0,0,30,25,2026-04-04
88,DEV-00088,Singapore,Sales,Zoom,Zoom Meetings,Cloud,Perpetual,Basic,5.17,5,2,60,1,0,90,12,2026-04-04
89,DEV-00089,US,Support,SQL Server,SQL 2019,Cloud,SaaS,Enterprise,15.0.45,1,0,7,0,0,7,300,2026-05-17
90,DEV-00090,India,Marketing,Salesforce,CRM Cloud,On-Prem,Subscription,Professional,Summer'25,5,4,30,0,0,30,120,2026-01-15
91,DEV-00091,US,Operations,Adobe CC,Premiere Pro,On-Prem,Subscription,Single App,23.0,5,1,30,0,0,30,25,2025-10-10
92,DEV-00092,US,IT,Oracle DB,Oracle 19c,Cloud,SaaS,Standard,19.14,1,1,0,0,0,60,500,2025-10-29
93,DEV-00093,Germany,Support,Oracle DB,Oracle 19c,Cloud,Perpetual,Standard,19.15,1,1,7,0,0,30,500,2025-10-12
94,DEV-00094,India,Support,SQL Server,SQL 2022,On-Prem,Subscription,Enterprise,16.0.10,1,0,60,1,0,30,300,2026-02-14
95,DEV-00095,Singapore,Operations,SQL Server,SQL 2022,Cloud,Perpetual,Enterprise,16.0.10,1,0,0,0,0,30,300,2026-01-21
96,DEV-00096,Germany,Operations,SQL Server,SQL 2022,Cloud,Perpetual,Standard,16.0.12,4,2,30,0,0,60,300,2025-12-14
97,DEV-00097,Germany,Finance,Microsoft 365,Word,On-Prem,Subscription,Basic,16.2,3,0,180,0,0,15,15,2026-07-11
98,DEV-00098,Singapore,Operations,Salesforce,CRM Cloud,Cloud,Subscription,Enterprise,Summer'25,3,2,90,0,0,15,120,2026-06-13
99,DEV-00099,US,HR,Salesforce,CRM Cloud,On-Prem,SaaS,Enterprise,Spring'25,1,0,0,0,0,120,120,2026-07-11
100,DEV-00100,Singapore,IT,Zoom,Zoom Meetings,On-Prem,SaaS,Pro,5.17,3,1,90,0,0,15,12,2026-07-13
101,DEV-00101,Germany,Finance,Adobe CC,Premiere Pro,On-Prem,SaaS,Single App,24.0,4,1,0,0,0,15,25,2026-03-12
102,DEV-00102,Singapore,Finance,Microsoft 365,Excel,On-Prem,Perpetual,Basic,16.2,1,1,30,0,0,30,15,2026-05-11
103,DEV-00103,Germany,Engineering,Adobe CC,Premiere Pro,On-Prem,Subscription,All Apps,23.0,3,3,7,0,1,30,25,2026-03-03
104,DEV-00104,India,Marketing,SQL Server,SQL 2019,On-Prem,SaaS,Enterprise,15.0.43,2,1,30,0,0,15,300,2025-09-30
105,DEV-00105,Germany,Sales,Adobe CC,Photoshop,Cloud,Perpetual,Single App,25.0,1,0,7,0,0,7,25,2026-05-20
106,DEV-00106,India,Operations,Zoom,Zoom Meetings,Cloud,Perpetual,Business,5.17,3,0,0,0,0,7,12,2025-12-23
107,DEV-00107,Singapore,Support,Salesforce,CRM Cloud,On-Prem,Subscription,Professional,Summer'25,4,4,90,0,0,30,120,2026-03-04
108,DEV-00108,UK,Marketing,Oracle DB,Oracle 19c,On-Prem,Perpetual,Standard,19.15,5,2,0,0,0,30,500,2026-08-23
109,DEV-00109,US,Marketing,Microsoft 365,Excel,Cloud,SaaS,Standard,16.2,2,2,0,0,0,15,15,2026-08-14
110,DEV-00110,Germany,Support,Zoom,Zoom Meetings,Cloud,Perpetual,Pro,5.16,4,6,30,0,0,7,12,2026-02-14
111,DEV-00111,Singapore,IT,Oracle DB,Oracle 19c,Cloud,Subscription,Enterprise,19.13,1,1,7,0,0,30,500,2025-11-12
112,DEV-00112,Singapore,Sales,SQL Server,SQL 2019,Cloud,Perpetual,Standard,15.0.45,5,1,90,0,0,7,300,2026-05-15
113,DEV-00113,India,Operations,Salesforce,CRM Cloud,On-Prem,SaaS,Professional,Spring'25,4,4,0,0,0,7,120,2026-04-05
114,DEV-00114,UK,Sales,SQL Server,SQL 2022,On-Prem,Perpetual,Enterprise,16.0.10,3,6,30,0,1,15,300,2026-02-03
115,DEV-00115,Singapore,HR,Oracle DB,Oracle 19c,On-Prem,Subscription,Enterprise,19.15,4,0,30,0,0,30,500,2026-04-07
116,DEV-00116,UK,HR,Salesforce,CRM Cloud,Cloud,Perpetual,Enterprise,Summer'25,3,1,120,0,0,120,120,2026-06-02
117,DEV-00117,US,Marketing,Adobe CC,Photoshop,On-Prem,Subscription,Single App,24.0,3,1,120,0,0,7,25,2025-12-14
118,DEV-00118,US,HR,Salesforce,CRM Cloud,Cloud,SaaS,Enterprise,Spring'25,2,2,0,0,0,7,120,2026-05-14
119,DEV-00119,US,Marketing,Oracle DB,Oracle 21c,On-Prem,Subscription,Enterprise,21.4,3,3,60,0,0,15,500,2026-01-07
120,DEV-00120,Singapore,HR,Oracle DB,Oracle 19c,Cloud,Subscription,Standard,19.15,5,2,90,0,0,60,500,2025-12-18
121,DEV-00121,UK,Support,Zoom,Zoom Meetings,Cloud,SaaS,Basic,5.17,3,3,7,1,0,30,12,2026-06-11
122,DEV-00122,UK,Marketing,SQL Server,SQL 2019,Cloud,SaaS,Standard,15.0.45,1,1,30,0,1,60,300,2025-12-06
123,DEV-00123,India,Engineering,SQL Server,SQL 2019,Cloud,Subscription,Standard,15.0.43,1,0,7,0,0,60,300,2026-08-04
124,DEV-00124,Singapore,Sales,Microsoft 365,PowerPoint,On-Prem,Subscription,Basic,16.0,2,2,90,0,1,15,15,2025-11-22
125,DEV-00125,Germany,IT,Salesforce,CRM Cloud,On-Prem,Subscription,Enterprise,Summer'25,5,4,60,0,0,90,120,2025-11-09
126,DEV-00126,Singapore,Operations,Microsoft 365,Word,Cloud,Subscription,Basic,16.2,4,2,90,0,0,60,15,2026-03-28
127,DEV-00127,India,Operations,Adobe CC,Premiere Pro,On-Prem,Perpetual,All Apps,23.0,1,1,60,0,0,90,25,2025-12-25
128,DEV-00128,Germany,Support,Salesforce,CRM Cloud,On-Prem,SaaS,Enterprise,Summer'25,3,1,15,0,1,90,120,2026-03-07
129,DEV-00129,UK,Sales,Zoom,Zoom Meetings,Cloud,SaaS,Business,5.16,3,0,7,0,0,90,12,2026-03-15
130,DEV-00130,UK,Finance,Oracle DB,Oracle 21c,Cloud,Perpetual,Enterprise,21.4,3,3,0,0,0,120,500,2026-04-03
131,DEV-00131,Singapore,Engineering,Microsoft 365,Teams,On-Prem,Subscription,Standard,1.8,3,0,180,0,0,30,15,2026-02-25
132,DEV-00132,UK,Support,Zoom,Zoom Meetings,On-Prem,Perpetual,Pro,5.17,4,6,15,0,0,15,12,2026-05-07
133,DEV-00133,UK,IT,Microsoft 365,Teams,Cloud,Perpetual,Standard,1.6,2,2,60,0,0,60,15,2025-10-14
134,DEV-00134,US,Finance,Adobe CC,Premiere Pro,Cloud,Subscription,All Apps,23.0,5,3,60,0,0,30,25,2026-04-05
135,DEV-00135,Germany,Finance,Zoom,Zoom Meetings,Cloud,Subscription,Pro,5.17,2,0,0,0,0,15,12,2026-06-09
136,DEV-00136,Singapore,Sales,Zoom,Zoom Meetings,Cloud,Subscription,Business,5.17,2,1,90,0,0,7,12,2026-06-05
137,DEV-00137,US,Finance,Adobe CC,Photoshop,Cloud,SaaS,All Apps,24.0,3,0,0,0,0,30,25,2026-02-22
138,DEV-00138,UK,HR,Salesforce,CRM Cloud,Cloud,Perpetual,Professional,Summer'25,2,0,0,0,0,60,120,2025-10-10
139,DEV-00139,UK,Operations,SQL Server,SQL 2019,On-Prem,SaaS,Enterprise,15.0.45,4,3,0,0,1,7,300,2025-11-03
140,DEV-00140,US,Operations,Salesforce,CRM Cloud,Cloud,Subscription,Enterprise,Summer'25,5,1,0,0,1,15,120,2025-12-02
141,DEV-00141,Germany,IT,Microsoft 365,Excel,Cloud,SaaS,Standard,16.1,2,2,90,0,2,15,15,2025-11-06
142,DEV-00142,UK,Marketing,Salesforce,CRM Cloud,On-Prem,Perpetual,Enterprise,Summer'25,5,4,0,0,0,30,120,2025-12-14
143,DEV-00143,US,Operations,Zoom,Zoom Meetings,On-Prem,SaaS,Basic,5.17,2,1,15,0,1,30,12,2025-10-12
144,DEV-00144,Germany,Engineering,Salesforce,CRM Cloud,Cloud,SaaS,Enterprise,Spring'25,4,5,0,0,0,7,120,2026-04-27
145,DEV-00145,Germany,Support,Adobe CC,Illustrator,On-Prem,Subscription,All Apps,28.0,4,2,0,0,0,30,25,2025-11-20
146,DEV-00146,UK,Marketing,SQL Server,SQL 2019,Cloud,Subscription,Standard,15.0.43,1,3,60,0,0,120,300,2026-04-29
147,DEV-00147,US,HR,Oracle DB,Oracle 21c,On-Prem,SaaS,Enterprise,21.4,4,3,7,1,0,90,500,2026-04-16
148,DEV-00148,Singapore,Support,Adobe CC,Photoshop,Cloud,SaaS,Single App,25.0,4,3,0,0,1,120,25,2025-10-01
149,DEV-00149,India,Sales,Adobe CC,Illustrator,Cloud,Subscription,All Apps,27.0,4,7,0,0,1,120,25,2026-07-07
150,DEV-00150,UK,Finance,SQL Server,SQL 2022,Cloud,Perpetual,Standard,16.0.10,1,1,0,0,0,120,300,2026-04-02
151,DEV-00151,US,Marketing,Zoom,Zoom Meetings,On-Prem,SaaS,Basic,5.16,3,3,30,0,0,30,12,2026-06-17
152,DEV-00152,US,Operations,Zoom,Zoom Meetings,On-Prem,Subscription,Business,5.17,5,4,15,0,0,30,12,2026-07-12
153,DEV-00153,UK,Support,Microsoft 365,PowerPoint,Cloud,Perpetual,Basic,16.1,5,5,120,0,0,15,15,2026-08-15
154,DEV-00154,India,Support,Oracle DB,Oracle 19c,On-Prem,Perpetual,Enterprise,19.13,5,4,180,0,1,30,500,2026-04-09
155,DEV-00155,US,Marketing,Microsoft 365,Word,On-Prem,SaaS,E5,16.1,4,1,7,0,0,30,15,2026-08-06
156,DEV-00156,Germany,IT,Salesforce,CRM Cloud,On-Prem,Perpetual,Enterprise,Spring'25,5,1,7,0,0,7,120,2026-06-26
157,DEV-00157,UK,Operations,Salesforce,CRM Cloud,Cloud,SaaS,Professional,Spring'25,5,2,180,0,1,30,120,2026-01-11
158,DEV-00158,Germany,Operations,SQL Server,SQL 2022,Cloud,Subscription,Standard,16.0.12,4,1,7,0,0,30,300,2026-02-21
159,DEV-00159,India,Operations,SQL Server,SQL 2022,Cloud,SaaS,Standard,16.0.12,5,1,0,0,1,90,300,2026-07-24
160,DEV-00160,US,Marketing,Microsoft 365,Excel,On-Prem,SaaS,Basic,16.1,3,0,60,0,0,15,15,2025-12-06
161,DEV-00161,India,HR,SQL Server,SQL 2022,Cloud,Perpetual,Standard,16.0.12,3,0,120,0,1,7,300,2025-11-11
162,DEV-00162,Singapore,Marketing,Zoom,Zoom Meetings,On-Prem,Subscription,Basic,5.16,4,1,7,0,0,120,12,2026-02-22
163,DEV-00163,India,IT,Oracle DB,Oracle 19c,Cloud,Subscription,Enterprise,19.15,5,1,0,0,0,15,500,2026-05-24
164,DEV-00164,UK,Marketing,Microsoft 365,PowerPoint,On-Prem,Perpetual,E5,16.2,3,0,180,0,1,30,15,2026-02-25
165,DEV-00165,Singapore,Marketing,Adobe CC,Premiere Pro,Cloud,Subscription,All Apps,23.0,4,1,15,0,0,7,25,2026-05-29
166,DEV-00166,UK,Marketing,Microsoft 365,PowerPoint,Cloud,SaaS,E5,16.1,3,0,90,0,0,120,15,2026-03-30
167,DEV-00167,US,IT,Salesforce,CRM Cloud,Cloud,Subscription,Professional,Spring'25,5,5,180,0,0,60,120,2025-11-26
168,DEV-00168,UK,Operations,Zoom,Zoom Meetings,On-Prem,SaaS,Pro,5.16,4,4,120,0,1,30,12,2026-07-05
169,DEV-00169,Germany,Marketing,Adobe CC,Premiere Pro,On-Prem,Perpetual,All Apps,24.0,1,0,0,1,1,15,25,2026-07-04
170,DEV-00170,Singapore,Marketing,Zoom,Zoom Meetings,On-Prem,Subscription,Business,5.17,1,1,60,0,0,15,12,2026-06-15
171,DEV-00171,Germany,IT,SQL Server,SQL 2019,Cloud,Subscription,Standard,15.0.45,3,3,0,0,0,30,300,2025-09-28
172,DEV-00172,US,Finance,Microsoft 365,Teams,Cloud,Perpetual,Basic,1.8,1,0,60,0,0,90,15,2026-05-26
173,DEV-00173,India,Engineering,SQL Server,SQL 2019,On-Prem,Perpetual,Enterprise,15.0.45,4,3,30,0,0,90,300,2026-06-30
174,DEV-00174,US,Operations,Microsoft 365,Excel,Cloud,Perpetual,Standard,16.2,2,0,15,0,0,7,15,2026-05-22
175,DEV-00175,Singapore,Sales,Zoom,Zoom Meetings,On-Prem,SaaS,Pro,5.17,2,2,60,0,0,60,12,2025-10-13
176,DEV-00176,Germany,IT,Adobe CC,Photoshop,On-Prem,SaaS,Single App,25.0,5,0,0,0,0,7,25,2025-10-19
177,DEV-00177,Germany,Support,Adobe CC,Premiere Pro,On-Prem,SaaS,Single App,24.0,2,2,7,0,0,15,25,2026-07-19
178,DEV-00178,Singapore,Operations,Adobe CC,Illustrator,On-Prem,Perpetual,Single App,28.0,3,1,15,0,1,30,25,2026-05-03
179,DEV-00179,Singapore,Support,Microsoft 365,PowerPoint,Cloud,Perpetual,E3,16.2,4,2,60,0,0,30,15,2026-06-29
180,DEV-00180,Germany,Marketing,Adobe CC,Illustrator,On-Prem,Subscription,Single App,28.0,4,1,90,0,1,90,25,2026-02-04
181,DEV-00181,US,Operations,Salesforce,CRM Cloud,Cloud,Subscription,Professional,Summer'25,1,0,15,0,0,30,120,2026-01-01
182,DEV-00182,Singapore,Marketing,SQL Server,SQL 2019,Cloud,Subscription,Standard,15.0.43,2,0,180,0,0,15,300,2026-05-30
183,DEV-00183,US,Marketing,SQL Server,SQL 2019,Cloud,Subscription,Enterprise,15.0.45,5,2,30,0,0,7,300,2026-06-16
184,DEV-00184,Germany,Support,Microsoft 365,Teams,Cloud,SaaS,E3,1.7,4,5,0,0,0,7,15,2025-10-05
185,DEV-00185,UK,Sales,Oracle DB,Oracle 19c,On-Prem,Subscription,Standard,19.14,5,3,0,0,0,7,500,2026-03-18
186,DEV-00186,UK,Support,Salesforce,CRM Cloud,Cloud,SaaS,Enterprise,Summer'25,2,1,7,0,1,30,120,2026-07-01
187,DEV-00187,India,IT,Microsoft 365,Word,On-Prem,Subscription,Standard,16.2,2,3,0,1,0,7,15,2026-06-12
188,DEV-00188,Germany,Operations,Microsoft 365,Teams,Cloud,SaaS,Basic,1.8,5,0,0,0,0,7,15,2026-02-14
189,DEV-00189,Singapore,Engineering,Microsoft 365,Teams,On-Prem,SaaS,Basic,1.8,2,2,0,0,0,30,15,2026-03-27
190,DEV-00190,UK,Sales,Microsoft 365,PowerPoint,Cloud,Subscription,Standard,16.2,2,0,0,0,0,30,15,2026-08-25
191,DEV-00191,India,Finance,SQL Server,SQL 2022,Cloud,Perpetual,Enterprise,16.0.10,1,0,60,0,0,60,300,2026-05-07
192,DEV-00192,UK,Finance,Zoom,Zoom Meetings,On-Prem,SaaS,Business,5.17,3,4,30,0,0,90,12,2026-02-17
193,DEV-00193,Singapore,IT,Adobe CC,Illustrator,On-Prem,SaaS,Single App,28.0,1,0,120,0,0,15,25,2026-04-14
